Row,id10994,id10995,id10996,id10997,id10998,id10999,id11003,id11005,id11006,id11547,id11548,id11549,id11550,id11552,id11942,id11943,id11944,id11945,id11949,id11951,id12119,id12655,id13161,id13186,id13312,id13313,id13528,id13835,id13948,id13952,id16276,id551,id589,id612,id621,id634,id636,id849,id854,id857,id859,id861,id864,id866,id869,id870
id634,13,12,15,15,15,15,15,15,15,14,15,15,12,14,14,15,15,15,15,15,15,15,11,7,7,7,6,5,4,4,15,15,15,15,14,NaN,15,15,14,15,13,15,15,15,15,15
id636,10,11,11,11,11,11,11,11,11,10,11,11,11,11,10,11,11,11,11,11,11,10,8,5,5,5,5,4,5,5,11,11,11,11,11,NaN,11,11,10,11,10,11,10,11,11,11
id849,11,10,11,11,11,11,11,11,11,11,11,11,9,11,10,11,11,11,11,11,10,9,6,4,4,4,2,2,2,2,11,11,11,11,11,NaN,11,11,10,11,10,11,10,11,11,11
id854,21,19,22,22,22,22,22,22,22,21,22,22,20,22,21,22,22,22,22,22,21,20,12,6,6,6,4,4,4,4,22,22,22,22,21,NaN,22,22,22,22,19,22,21,22,22,22
id857,18,18,19,19,19,19,19,19,19,18,19,19,18,19,17,19,19,19,19,19,18,17,11,6,6,6,6,6,6,6,20,20,20,20,19,NaN,19,20,18,20,19,20,19,20,20,20
id859,22,23,25,25,25,25,25,25,25,23,25,24,24,25,22,25,24,25,25,25,24,23,16,12,12,12,10,9,9,9,25,25,25,25,25,NaN,25,25,23,25,24,25,25,25,25,24
id861,18,18,19,19,19,19,19,19,19,18,19,19,19,19,18,19,19,19,19,19,18,17,12,6,6,6,6,6,6,6,19,19,19,19,19,NaN,19,19,16,19,17,19,18,19,19,19
id864,20,18,20,20,20,20,19,20,20,19,20,19,18,20,19,20,20,20,20,20,19,18,12,6,6,6,3,3,3,3,21,21,21,21,19,NaN,20,21,21,21,20,21,21,21,21,21
id866,22,23,24,24,24,24,24,24,24,23,24,24,23,24,21,24,23,24,24,24,23,22,18,13,13,13,12,11,12,12,24,24,24,24,24,NaN,24,24,22,24,23,24,23,24,24,24
id869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,9,9,9,9,4,NaN,4,9,8,9,8,9,8,9,9,9
id870,20,20,21,21,21,21,21,21,21,20,21,21,20,21,19,21,21,21,21,21,20,19,14,9,9,9,7,7,6,6,21,21,21,21,21,NaN,21,21,20,21,19,21,20,21,20,21
