bill_number,bill_id,title
HB1115,396444,"An Act For The Professional Bail Bondsman Licensing Board Appropriation For The 2012-2013 Fiscal Year."
HB1116,396445,"An Act For The State Bank Department Appropriation For The 2012-2013 Fiscal Year."
HB1117,396446,"An Act For The Arkansas State Board Of Architects, Landscape Architects, And Interior Designers Appropriation For The 2012-2013 Fiscal Year."
HB1118,396447,"An Act For The Contractors Licensing Board Appropriation For The 2012-2013 Fiscal Year."
HB1119,396448,"An Act For The State Board Of Licensure For Professional Engineers And Professional Surveyors Appropriation For The 2012-2013 Fiscal Year."
HB1120,396449,"An Act For The Arkansas Waterways Commission Appropriation For The 2012-2013 Fiscal Year."
HB1121,396450,"An Act For The Mid-south Community College Appropriation For The 2012-2013 Fiscal Year."
HB1122,396451,"An Act For The National Park Community College Appropriation For The 2012-2013 Fiscal Year."
HB1123,396452,"An Act For The North Arkansas College Appropriation For The 2012-2013 Fiscal Year."
HB1124,396453,"An Act For The Rich Mountain Community College Appropriation For The 2012-2013 Fiscal Year."
HB1125,396454,"An Act For The Pulaski Technical College Appropriation For The 2012-2013 Fiscal Year."
HB1126,396455,"An Act For The Arkansas Public Service Commission Appropriation For The 2012-2013 Fiscal Year."
HB1127,396456,"An Act For The Department Of Workforce Services Appropriation For The 2012-2013 Fiscal Year."
HB1128,396457,"An Act For The Arkansas Crime Information Center Appropriation For The 2012-2013 Fiscal Year."
HB1129,396458,"An Act For The Department Of Arkansas State Police Appropriation For The 2012-2013 Fiscal Year."
HB1130,396459,"An Act For The Department Of Community Correction Appropriation For The 2012-2013 Fiscal Year."
HB1131,396460,"An Act For The Department Of Correction Appropriation For The 2012-2013 Fiscal Year."
HB1132,396461,"An Act For The Arkansas State University - Arkansas Biosciences Institute Appropriation For The 2012-2013 Fiscal Year."
HB1133,396462,"An Act For The Arkansas State University - Mountain Home Appropriation For The 2012-2013 Fiscal Year."
HB1134,396463,"An Act For The Arkansas Tech University Appropriation For The 2012-2013 Fiscal Year."
HB1135,396464,"An Act For The Henderson State University Appropriation For The 2012-2013 Fiscal Year."
HB1136,396465,"An Act For The University Of Arkansas At Little Rock Appropriation For The 2012-2013 Fiscal Year."
HB1137,396466,"An Act For The University Of Arkansas - Fort Smith Appropriation For The 2012-2013 Fiscal Year."
HB1138,396467,"An Act For The Southern Arkansas University Appropriation For The 2012-2013 Fiscal Year."
HB1139,396468,"An Act For The Division Of Legislative Audit Of The Legislative Joint Auditing Committee Appropriation For The 2012-2013 Fiscal Year."
HB1140,396469,"An Act For The Office Of The Treasurer Of State Appropriation For The 2012-2013 Fiscal Year."
HB1141,396470,"An Act For The Office Of The Treasurer Of State - City-county Tourist Meeting And Entertainment Facilities Assistance Appropriation For The 2012-2013 Fiscal Year."
HB1142,396471,"An Act For The Office Of The Treasurer Of State - Amendment 74 Property Tax Appropriation For The 2012-2013 Fiscal Year."
HB1143,396472,"An Act For The Office Of The Treasurer Of State - General Obligation Bonds Appropriation For The 2012-2013 Fiscal Year."
HB1144,396473,"An Act For The Office Of The Treasurer Of State - Refund Of Local Taxes Appropriation For The 2012-2013 Fiscal Year."
HB1145,396474,"An Act For The Office Of The Treasurer Of State - Assistance To Local Law Enforcement And Emergency Medical Appropriation For The 2012-2013 Fiscal Year."
HB1146,396475,"An Act For The Office Of The Treasurer Of State - Animal Rescue Shelters Appropriation For The 2012-2013 Fiscal Year."
HB1147,396476,"An Act For The Secretary Of State Appropriation For The 2012-2013 Fiscal Year."
HB1148,396477,"An Act For The University Of Arkansas And The Division Of Agriculture - Arkansas Biosciences Institutes Appropriation For The 2012-2013 Fiscal Year."
HB1149,396478,"An Act For The Uams - Reynolds Center On Aging, Boozman College Of Public Health, Ark. Biosciences Institute & The Area Health Ed. Center In Helena Appropriation For The 2012-2013 Fiscal Year."
HB1150,396479,"An Act For The Office Of The Treasurer Of State - For State Turnback For Counties And Municipalities Appropriation For The 2012-2013 Fiscal Year."
HB1151,396480,"An Act For The Land Department Appropriation For The 2012-2013 Fiscal Year."
HB1152,396481,"An Act For The Southern Arkansas University - Arkansas School Of Veterinary Medicine Feasibility Study Appropriation For The 2012-2013 Fiscal Year."
HB1153,396482,"An Act For The Arkansas Natural Resources Commission - River Bridge Construction, Repair, Preventive Maintenance, And Erosion Control Grants Appropriation For The 2012-2013 Fiscal Year."
HB1154,396483,"An Act For The Arkansas House Of Representatives - Staff Appropriation For The 2012-2013 Fiscal Year."
HB1155,396484,"An Act For The Secretary Of State - County Voting System Grant Fund Appropriation For The 2012-2013 Fiscal Year."
HB1156,397747,"An Act For The Department Of Community Correction - Evidence-based Practices; Reduction Of Caseload Assignments And Support For Drug Courts Supplemental Appropriation."
HB1157,398755,"An Act For The Department Of Correction County Jail Reimbursement Supplemental Appropriation."
HB1158,398833,"An Act For The Department Of Correction - Roosevelt Road Barracks Supplemental Appropriation."
HB1159,398915,"An Act For The Department Of Correction - Holiday Compensation Supplemental Appropriation."
HB1160,398995,"An Act For The Department Of Finance And Administration - Disbursing Officer Disaster Assistance Supplemental Appropriation."
HB1161,400363,"An Act For The Arkansas State Highway And Transportation Department - Arkansas Wine Country Trail Signage Creation And Installation Appropriation For The 2012-2013 Fiscal Year."
HB1162,402762,"An Act For The Arkansas Natural Resources Commission - River Bridge Construction, Repair, Preventive Maintenance, And Erosion Control Grants Appropriation For The 2012-2013 Fiscal Year."
HB1163,404891,"An Act To Amend The Arkansas Revenue Stabilization Law Of Arkansas."
HR1001,407877,"Urging The United States Department Of The Air Force, The United States Department Of Defense, And The National Guard Bureau To Retain The 188th Fighter Wing In Fort Smith, Arkansas."
HCR1001,396485,"For A Joint Session Of The House Of Representatives And The Senate At 12:30 P.m., Monday, February 13, 2012, In The House Chamber, To Hear An Address By The Honorable Mike Beebe, Governor Of The State Of Arkansas."
HCR1002,396486,"To Authorize The Introduction Of A Nonappropriation Bill To Amend The Revenue Stabilization Law."
HCR1003,396487,"To Authorize The Introduction Of A Non-appropriation Bill To Provide That Elected Officials Shall Receive Mileage Reimbursement At The Same Rate As State Employees."
HCR1004,396488,"To Authorize The Introduction Of A Nonappropriation Bill To Amend The Revenue Stabilization Law."
HCR1005,396489,"To Authorize The Introduction Of A Nonappropriation Bill To Amend Parole Eligibility For Persons Convicted Of A Felony Sex Offense."
HCR1006,396490,"To Authorize The Introduction Of A Nonappropriation Bill To Repeal Acts 2011, No. 1058, That Exempted From The Sales And Use Tax The Gross Receipts Derived From The Sale Of Certain Trucks And Semitrailers."
HCR1007,396491,"To Authorize The Introduction Of A Nonappropriation Bill Concerning Actions By State Agencies Due To A Shortage Or Reduction Of Funds."
HCR1008,396492,"To Authorize The Introduction Of A Nonappropriation Bill To Amend The Revenue Stabilization Law."
HCR1009,396493,"To Authorize The Introduction Of A Nonappropriation Bill To Repeal Acts 2011, No. 1058, That Exempted From The Sales And Use Tax The Gross Receipts Derived From The Sale Of Certain Trucks And Semitrailers."
HCR1010,396989,"To Authorize The Introduction Of A Nonappropriation Bill To Improve Program Integrity For Medicaid And The Arkids First Program By Implementing Waste, Fraud, And Abuse Prevention, Detection, And Recovery Programs."
HCR1011,397829,"To Provide For The Date Of The Sine Die Adjournment Of The Fiscal Session Of The Eighty-eighth General Assembly And To Provide For Recesses Of The House Of Representatives And The Senate."
HMR1001,408185,"In Respectful Memory Of Mr. Lloyd George And In Recognition Of His Contributions To The State Of Arkansas And His Local Community."
HMR1002,408030,"In Respectful Memory Of Ms. Myra Lee Jones And In Recognition Of Her Contributions To The State Of Arkansas And Her Local Community."
HMR1003,407883,"In Respectful Memory Of Mr. Harold ""lacy"" Landers And In Recognition Of His Contributions To The State Of Arkansas And His Local Community."
SB1,396494,"An Act For The Arkansas Senate - Staff Appropriation For The 2012-2013 Fiscal Year."
SB2,396495,"An Act For The Department Of Finance And Administration - Alcoholic Beverage Control Enforcement Division Appropriation For The 2012-2013 Fiscal Year."
SB3,396496,"An Act For The Arkansas Agriculture Department Reappropriation."
SB4,396497,"An Act For The Office Of Attorney General Reappropriation."
SB5,396498,"An Act For The Auditor Of State - Operations And Unclaimed Property Program Appropriation For The 2012-2013 Fiscal Year."
SB6,396499,"An Act For The Arkansas State Board Of Acupuncture And Related Techniques Appropriation For The 2012-2013 Fiscal Year."
SB7,396500,"An Act For The Burial Association Board Appropriation For The 2012-2013 Fiscal Year."
SB8,396501,"An Act For The Arkansas Cemetery Board Reappropriation."
SB9,396502,"An Act For The State Crime Laboratory Reappropriation."
SB10,396503,"An Act For The Crowley's Ridge Technical Institute Reappropriation."
SB11,396504,"An Act For The Department Of Finance And Administration - Disbursing Officer Reappropriation."
SB12,396505,"An Act For The Department Of Finance And Administration - Disbursing Officer Reappropriation."
SB13,396506,"An Act For The Department Of Finance And Administration - Revenue Services Division Reappropriation."
SB14,396507,"An Act For The Institutions Of Higher Education And The Department Of Higher Education; Reappropriation."
SB15,396508,"An Act For The Department Of Career Education Reappropriation."
SB16,396509,"An Act For The Department Of Career Education - Arkansas Rehabilitation Services Reappropriation."
SB17,396510,"An Act For The State Board Of Embalmers And Funeral Directors Appropriation For The 2012-2013 Fiscal Year."
SB18,396511,"An Act For The Arkansas Ethics Commission Appropriation For The 2012-2013 Fiscal Year."
SB19,396512,"An Act For The Arkansas Fair Housing Commission Appropriation For The 2012-2013 Fiscal Year."
SB20,396513,"An Act For The Arkansas State Game And Fish Commission Reappropriation."
SB21,396514,"An Act For The Arkansas Geographic Information Office - Statewide Parcel Mapping Grant Appropriation For The 2012-2013 Fiscal Year."
SB22,396515,"An Act For The Arkansas Geographic Information Office Appropriation For The 2012-2013 Fiscal Year."
SB23,396516,"An Act For The Arkansas Geographic Information Office Reappropriation."
SB24,396517,"An Act For The Department Of Arkansas Heritage Reappropriation."
SB25,396518,"An Act For The Arkansas State Highway And Transportation Department - Road And Bridge Repair, Noaa Weather Warning System, And The Public Transportation Program Appropriation For The 2012-2013 Fiscal Year."
SB26,396519,"An Act For The Arkansas State Highway And Transportation Department Reappropriation."
SB27,396520,"An Act For The Department Of Human Services Reappropriation."
SB28,396521,"An Act For The Judicial Discipline And Disability Commission Appropriation For The 2012-2013 Fiscal Year."
SB29,396522,"An Act For The Arkansas State Board Of Massage Therapy Appropriation For The 2012-2013 Fiscal Year."
SB30,396523,"An Act For The Arkansas State Medical Board Appropriation For The 2012-2013 Fiscal Year."
SB31,396524,"An Act For The Arkansas Minority Health Commission Appropriation For The 2012-2013 Fiscal Year."
SB32,396525,"An Act For The Arkansas Minority Health Initiative Of The Arkansas Minority Health Commission Appropriation For The 2012-2013 Fiscal Year."
SB33,396526,"An Act For The Arkansas State Board Of Nursing Appropriation For The 2012-2013 Fiscal Year."
SB34,396527,"An Act For The Administrative Office Of The Courts Appropriation For The 2012-2013 Fiscal Year."
SB35,396528,"An Act For The State Board Of Optometry Appropriation For The 2012-2013 Fiscal Year."
SB36,396529,"An Act For The Department Of Parks And Tourism - Arkansas History Commission Reappropriation."
SB37,396530,"An Act For The Department Of Parks And Tourism - Arkansas History Commission Appropriation For The 2012-2013 Fiscal Year."
SB38,396531,"An Act For The Auditor Of State - Deputy Prosecuting Attorneys Appropriation For The 2012-2013 Fiscal Year."
SB39,396532,"An Act For The Arkansas Public Defender Commission Reappropriation."
