Row,id10568,id10570,id10571,id10573,id10574,id10575,id10576,id10577,id10578,id10584,id10818,id11298,id11394,id11395,id11396,id12223,id14189,id14437,id14438,id14439,id14442,id14443,id14444,id14447,id14761,id14762,id14764,id16807,id5483,id5492,id5493,id5497,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5519,id5524,id5527,id5528,id5533,id5536,id5539,id5544,id5546,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576
id5527,7,7,6,7,7,7,6,7,7,7,7,7,6,7,7,7,6,6,6,5,6,5,6,6,6,6,6,5,7,7,7,2,7,7,7,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,4,5,7,6,7,7,5,7,7,7,7,6
id5528,12,12,7,11,12,12,10,12,12,10,12,12,11,12,12,10,12,12,10,12,11,11,12,12,12,12,12,7,12,12,12,2,12,11,8,12,12,12,12,12,12,12,12,9,9,8,12,12,12,12,8,12,11,10,12,11,8,12,10,12,12,7
id5533,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2,4,4,4,3,4,2,4,4,4,4,4
id5536,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,4,5,5,5,5,5,3,5,5,5,5,2
id5539,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
id5543,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,NaN,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,2
id5544,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,5,6,6,6,6,6,5,5,6,6,6,5,6,2,5,6,6,6,6,5,6,5,6,6,6
id5546,6,6,5,6,6,6,5,6,6,5,6,5,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6,5,6,6,6,NaN,6,6,5,6,6,6,6,6,6,6,6,4,3,5,6,6,6,6,4,6,6,4,6,6,5,6,4,6,6,5
id5549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5557,12,12,8,11,12,11,11,12,12,12,12,10,12,12,12,11,12,11,12,12,10,11,12,12,12,12,12,9,12,11,12,3,11,12,11,11,12,11,12,12,12,12,12,12,9,10,12,12,10,12,9,11,12,9,12,10,11,12,11,12,12,9
id5560,11,11,9,10,11,11,10,10,11,11,11,10,10,11,11,11,11,11,11,10,11,11,11,11,10,11,11,9,11,11,11,4,11,10,10,10,10,10,11,11,11,11,11,11,10,9,11,11,9,11,5,9,11,10,10,11,8,10,9,11,10,9
id5565,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,1,6,6,5,5,6,6,6,5,6,6,6,5,5,6,6,6,5,6,2,5,6,5,6,6,4,6,5,6,5,5
id5566,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,1,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,3,5,4,5,4,2
id5567,10,10,6,10,10,9,8,10,10,10,10,10,10,10,9,7,10,9,10,9,10,10,10,10,10,10,10,6,10,10,10,4,10,10,6,9,10,10,10,10,10,10,10,8,8,9,10,10,10,9,7,10,10,10,10,10,8,10,9,10,9,6
id5568,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,2,5,5,5,5,4,3,5,4,5,5,5
id5569,7,7,5,7,7,6,5,7,7,6,7,7,7,7,7,6,7,6,7,5,7,7,7,7,7,7,7,5,7,7,7,3,7,7,5,6,7,6,7,7,7,6,7,5,5,6,7,7,7,7,5,6,7,7,7,7,5,7,6,7,6,5
id5570,3,3,3,2,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3
id5571,9,9,7,8,9,9,8,9,9,8,9,9,9,9,9,8,9,9,9,8,9,8,9,9,9,9,9,7,9,9,9,1,9,8,8,8,9,8,9,9,9,9,9,9,8,8,9,9,7,9,5,8,9,7,9,8,8,9,9,9,9,7
id5573,6,6,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,1,6,5,5,6,6,5,6,6,6,6,6,6,5,6,6,6,5,6,4,5,6,6,6,5,6,6,5,6,6,6
id5576,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2
id5624,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,3,4,3,4
