Row,id10580,id10581,id10582,id10583,id10585,id11402,id12222,id14060,id14193,id14765,id15697,id16531,id16532,id16533,id16534,id16535,id16536,id16586,id5541,id5579,id5580,id5581,id5583,id5584,id5585,id5587,id5589,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5616,id5619,id5620,id5621,id5622,id5623,id5627
id5609,10,14,19,9,14,6,13,8,2,NaN,NaN,5,NaN,NaN,NaN,5,6,4,NaN,19,19,8,8,24,14,10,30,8,15,8,16,16,17,11,8,16,12,12,8,17,35,8,8,26,8,6,7,8,23,7,19
id5610,8,17,11,8,16,4,15,1,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,10,8,13,14,11,8,8,13,22,8,17,8,16,8,8,22,14,17,22,8,15,8,32,16,8,8,6,21,9,7,15,14
id5612,9,24,8,23,14,NaN,8,11,7,NaN,22,9,NaN,6,NaN,7,9,3,7,18,10,8,8,13,10,23,7,16,30,17,10,8,29,8,18,8,15,28,27,8,8,16,47,8,8,8,22,8,23,18,9
id5614,8,8,28,9,8,NaN,17,17,3,8,NaN,7,6,NaN,2,5,NaN,4,6,22,24,12,11,19,21,8,29,13,16,13,19,8,18,13,13,19,8,11,8,16,26,8,8,44,8,11,8,14,24,12,22
id5616,8,8,9,8,8,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,9,8,8,8,9,8,7,8,9,9,8,8,8,9,8,9,9,8,8,8,8,8,8,8,9,6,6,8,7,8,8
id5619,26,6,6,8,9,NaN,6,11,14,14,2,NaN,8,2,9,NaN,NaN,NaN,6,5,15,7,11,7,21,15,5,6,7,15,19,6,6,16,15,6,6,6,6,6,6,6,8,11,6,35,4,17,9,21,15
id5620,7,12,14,13,13,4,20,2,1,2,17,2,NaN,8,2,4,NaN,NaN,NaN,26,15,17,11,16,6,19,13,19,17,12,6,14,17,6,24,18,13,38,16,21,7,21,22,8,6,4,50,6,12,16,19
id5621,11,8,8,10,11,2,9,1,NaN,6,9,NaN,7,NaN,NaN,NaN,NaN,NaN,7,7,8,9,20,14,27,8,8,16,8,17,10,14,8,25,19,8,9,14,8,16,8,9,8,14,8,17,6,30,7,7,8
id5622,17,7,23,20,7,NaN,11,18,7,NaN,15,12,7,2,NaN,5,7,10,NaN,27,19,8,9,21,18,14,24,7,29,13,17,7,39,7,7,16,7,16,22,12,23,7,23,24,7,9,12,7,51,10,19
id5623,22,16,14,9,7,NaN,19,13,14,7,7,NaN,1,9,7,2,NaN,NaN,NaN,11,20,16,7,8,13,19,6,22,9,19,17,7,8,8,18,12,8,22,7,12,7,15,18,12,8,21,16,7,10,45,19
id5627,17,10,22,8,8,NaN,20,19,10,8,9,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,34,35,20,11,20,8,23,25,8,10,8,28,8,20,8,14,31,10,21,8,23,19,14,9,22,8,15,19,8,19,19,49
