Row,id5506,id12223,id5492,id5508,id5499,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14189,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id5512,id5513,id5510,id5527,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5557,id14444,id10816,id10576,id5497,id11395,id11396,id5567,id5565
id5569,7,9,8,9,9,5,6,6,9,9,9,9,7,9,7,8,5,9,9,5,9,9,9,9,9,9,9,5,3,5,7,9,9,7,7,7,9,9,5,9,9,7,5,8,9,9,7,5,9,9,7,7,9,9,7,9,9,9,7,5,9,1,9,9,9,9
id5533,9,10,10,10,10,6,10,10,10,10,10,10,8,10,8,9,7,10,10,6,7,10,10,10,10,10,10,6,6,5,8,10,10,10,10,8,10,8,6,10,10,8,8,9,10,10,9,6,10,10,9,8,7,10,10,10,10,10,8,6,10,5,10,10,10,10
id14436,3,2,3,3,3,1,3,3,2,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,1,NaN,1,3,3,3,2,2,3,3,3,1,3,3,2,3,3,3,3,2,1,3,3,2,3,2,3,2,3,3,3,3,1,3,1,3,3,2,3
id14440,3,3,3,3,3,1,2,1,2,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,NaN,1,3,2,3,2,3,3,3,3,1,3,3,2,3,3,3,3,2,1,3,3,2,3,1,3,2,3,3,3,3,1,3,1,3,3,2,3
id5543,4,4,3,4,4,2,4,4,3,4,4,4,3,4,3,4,2,4,4,2,3,4,4,4,4,4,4,2,2,2,3,4,3,4,3,3,4,3,2,4,4,3,3,4,4,4,4,2,4,4,4,3,3,4,4,4,4,4,3,2,4,2,4,3,4,4
id5556,3,2,3,3,3,3,3,3,3,3,3,3,NaN,3,NaN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,3,3,NaN,3,3,3,3,3,3,NaN,3,3,3,3,3,3,3,3,NaN,3,3,3,3,3,3,NaN,3,3,2,3,3,3,3
id5566,5,6,6,6,6,3,5,5,6,6,6,6,4,6,4,5,4,6,5,4,6,6,6,6,6,6,6,4,4,4,4,6,6,6,6,4,6,4,4,6,6,4,4,5,6,6,6,4,6,6,6,4,4,6,6,6,6,6,4,4,6,4,6,6,6,6
id14442,6,7,7,7,7,3,6,4,7,7,7,7,7,7,7,5,3,7,7,3,7,7,7,7,7,7,7,3,1,3,6,7,7,4,7,7,6,7,3,6,7,6,6,6,7,7,6,3,7,7,6,7,7,7,5,7,7,7,7,3,7,2,7,7,7,6
id14446,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1
id5518,4,4,4,4,4,2,3,3,4,4,4,4,3,4,3,4,3,4,4,2,4,4,4,4,4,4,4,2,1,2,3,4,4,3,3,3,4,4,2,4,4,3,2,4,4,4,3,2,4,4,3,3,4,4,3,4,4,4,3,2,4,1,3,4,4,4
id14191,4,4,5,5,5,4,4,3,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,1,4,5,5,5,2,4,5,5,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,2,5,5,5,5,4,5,2,5,5,5,5
id5493,15,14,15,14,15,8,13,11,13,14,15,15,9,15,9,14,12,15,15,8,14,15,15,14,15,15,15,8,7,8,9,14,15,14,11,9,15,15,8,15,15,12,9,15,14,15,12,8,15,15,12,9,12,15,14,15,13,15,9,8,14,6,15,15,11,13
id14189,11,10,11,11,11,5,9,10,11,11,11,10,11,10,11,11,7,11,11,5,10,11,11,11,11,11,11,5,4,5,9,11,11,10,8,11,10,9,5,11,11,7,11,11,11,10,8,5,11,11,8,11,7,10,9,11,10,10,11,5,11,8,11,11,11,10
id14765,4,5,5,5,5,NaN,5,5,5,5,5,5,4,5,5,4,4,5,5,NaN,5,5,5,5,5,5,4,NaN,NaN,NaN,5,5,5,5,4,4,5,5,NaN,4,5,4,4,4,5,5,4,NaN,5,5,4,5,5,5,5,5,5,5,5,NaN,4,NaN,5,5,5,5
id14192,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,4,2,5,5,1,4,5,5,5,5,5,5,1,1,1,5,5,5,5,3,5,5,4,1,5,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,5,1,5,2,5,5,5,5
id14766,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5,5,5,5,4,2,2,2,5,5,5,5,5,4,4,5,2,4,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2,5,NaN,5,5,5,5
