Row,id10580,id10581,id10583,id14060,id15697,id5541,id5579,id5580,id5581,id5584,id5585,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5620,id5621,id5622
id16533,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
id16534,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
id16535,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id16536,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
id5541,14,14,6,12,13,11,13,14,14,14,14,14,14,14,14,14,14,14,12,14,14,14,14,14,14,13,14,14,13,14,13,12
id5579,10,10,4,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,10,10
id5580,9,9,5,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8
id5581,18,18,9,17,18,15,17,18,17,17,18,18,18,18,18,18,18,18,16,18,18,18,18,18,18,17,18,18,18,18,18,18
id5583,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4
id5584,13,13,10,13,13,10,12,13,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,11,13,12,12
id5585,24,24,12,24,24,15,24,24,23,23,24,24,24,24,24,24,24,23,22,23,24,24,24,24,24,24,24,24,23,23,23,23
id5587,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2
id5589,4,4,1,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
id5590,12,12,6,12,12,11,11,12,11,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12
id5592,44,44,28,43,43,30,40,44,43,44,44,44,44,44,44,44,44,44,40,43,44,44,43,44,44,42,44,44,40,44,40,39
id5594,13,13,8,13,13,7,12,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,12,10,9
id5595,18,18,11,17,17,12,18,18,17,18,18,18,18,18,18,18,18,18,16,18,18,18,18,18,18,17,18,18,14,17,15,14
id5597,21,21,11,20,21,18,21,21,21,21,21,21,21,21,21,21,21,21,16,21,21,21,21,21,21,21,21,21,20,21,21,21
id5598,18,18,8,18,18,13,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,18,18,18,17,18,18,16,18,16,15
id5599,6,6,3,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,5
id5601,60,60,32,60,60,41,58,60,58,60,60,60,60,60,60,60,60,60,53,59,60,60,60,60,60,60,60,60,56,59,56,54
id5602,17,17,9,16,16,10,15,17,16,16,17,17,17,17,17,17,17,17,15,17,17,17,17,17,17,17,17,17,16,17,16,16
id5604,26,26,14,25,25,21,26,26,26,26,26,26,26,26,26,26,26,26,23,26,26,26,26,26,26,26,26,26,25,26,25,24
id5605,15,15,8,14,15,10,15,15,14,15,15,15,15,15,15,15,15,15,13,15,15,15,14,15,15,14,15,15,13,15,13,12
id5606,11,11,8,10,10,6,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,9,11,10,10
id5608,10,10,3,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,9,9
id5609,9,9,6,8,8,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,8,8
id5610,9,9,6,9,9,6,8,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,7,9,8,7
id5612,17,17,11,17,17,10,15,17,17,17,17,17,17,17,17,17,17,17,15,17,17,17,17,17,17,17,17,17,14,17,14,13
id5614,9,9,2,9,9,7,9,9,8,9,9,9,9,9,9,9,9,8,8,9,9,9,8,9,9,9,9,9,9,8,9,8
id5619,9,9,4,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
id5620,10,10,6,10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,9,9
id5621,19,19,10,19,19,15,18,19,19,18,19,19,19,19,19,19,19,19,17,18,19,19,19,19,19,18,19,19,19,19,19,18
id5622,12,12,8,12,12,9,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,11,12,11,11
id5623,7,7,6,7,7,3,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,6,5
id5627,6,6,2,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5
