Row,id12223,id5492,id5508,id5499,id5498,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14192,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id14445,id5512,id5513,id5510,id14768,id14447,id5527,id5537,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5547,id5557,id14762,id14444,id10816,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id14445,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,NaN,NaN,1,1,1,1
id5512,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5513,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5510,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,2,4,4,3,2,4,4,4,4,4,4,3,3,2,3,4,4,4,4,3,4,3,3,3,4,4,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,3,4,2,2,4,4,3,4
id14768,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,NaN,NaN,1,1,1,1
id14447,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,NaN,NaN,1,1,1,1
id5527,3,3,3,3,3,2,3,3,3,3,3,3,1,3,1,3,1,3,3,2,3,3,3,3,3,3,3,2,2,2,1,2,3,3,3,1,3,3,1,2,2,3,1,1,3,3,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,1,1,2,3,1,3,3,3,2,3
id5537,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id14437,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,NaN,NaN,NaN,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,NaN,NaN,1,1,1,NaN
id5573,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5536,3,2,3,3,3,2,1,1,3,3,3,3,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,3,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,3,2,3,2,2,2,2,1,1,3,3,2,2
id10584,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,NaN
id10579,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5541,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5483,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,2,2,2,3,3,2,2,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,3,2,2,2,3,1,1,3,3,2,3
id10570,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id10572,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id14764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1
id10573,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5514,6,6,6,6,6,4,6,6,6,6,6,6,2,6,2,4,3,6,6,4,6,6,6,6,6,6,6,4,4,4,2,5,6,6,6,2,6,6,2,4,5,6,2,2,6,6,2,4,6,6,6,4,6,6,6,2,6,6,6,6,6,4,6,2,2,4,6,1,2,6,6,5,6
id10571,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2
id10568,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id11298,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5547,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,NaN,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,1,2,2,2,NaN,2,2,NaN,2,1,2,NaN,NaN,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,2,2,1,2,2,2,1,2
id5557,3,3,3,3,3,1,3,2,3,3,3,3,2,2,2,3,2,2,3,1,3,3,3,3,3,3,3,1,1,1,2,3,3,3,3,2,3,3,2,1,3,3,2,2,2,3,1,3,3,3,2,1,3,3,2,2,3,3,3,3,3,1,3,2,2,1,3,NaN,2,2,3,2,3
id14762,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,1,1,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,1,2,2,2,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,NaN,1,NaN,NaN,2,2,2,2
id14444,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,1,1,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,1,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,NaN,1,NaN,NaN,2,2,2,2
id10816,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3,2,3
id10576,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,1,3,2,1,3,2,3,1,1,2,3,1,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,1,1,3,3,2,2,3,3,2,3
id5521,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,1,1,1,1
id5497,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id11395,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,NaN,1,2,2,1,2
id11396,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5567,3,3,3,3,3,2,3,3,3,3,3,3,1,3,1,2,1,3,3,2,3,3,3,3,3,3,3,2,2,2,1,3,3,3,3,1,3,3,1,2,3,3,1,1,3,3,1,2,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,1,1,2,3,NaN,1,3,3,2,3
id5565,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
