Row,id10568,id10570,id10571,id10572,id10573,id10574,id10575,id10576,id10577,id10578,id10579,id10584,id10818,id11298,id11394,id11395,id11396,id11398,id11445,id12223,id14189,id14191,id14192,id14436,id14437,id14438,id14439,id14440,id14441,id14442,id14443,id14444,id14445,id14446,id14447,id14448,id14761,id14762,id14764,id14766,id14767,id14768,id16085,id16115,id16175,id16530,id16537,id16538,id16701,id16702,id16703,id16704,id16801,id16807,id17692,id17750,id17791,id5483,id5489,id5492,id5493,id5494,id5497,id5498,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5518,id5519,id5524,id5527,id5528,id5529,id5532,id5533,id5536,id5537,id5539,id5543,id5544,id5546,id5549,id5553,id5556,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576,id5624
id14189,NaN,2,NaN,NaN,16,NaN,2,NaN,4,NaN,NaN,2,NaN,NaN,NaN,NaN,1,7,NaN,NaN,21,2,NaN,3,NaN,NaN,6,2,NaN,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,2,NaN,7,NaN,NaN,NaN,4,NaN,12,4,NaN,NaN,NaN,7,2,NaN,NaN,NaN,NaN,NaN,2,11,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,2,NaN,NaN,4,NaN,2,NaN,11,4,NaN,17,NaN,NaN,NaN,NaN,NaN,NaN,14
id14191,NaN,11,NaN,3,NaN,NaN,NaN,5,2,NaN,NaN,NaN,NaN,NaN,2,3,7,6,1,3,2,14,NaN,2,NaN,1,NaN,4,NaN,NaN,2,2,4,1,7,NaN,NaN,3,NaN,NaN,NaN,3,2,3,3,NaN,3,NaN,1,1,NaN,3,NaN,NaN,NaN,NaN,NaN,2,2,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,NaN,6,NaN,8,NaN,NaN,2,NaN,2,NaN,NaN,2,NaN,1,3,NaN,5,NaN,NaN,NaN,NaN
id14192,1,NaN,20,NaN,NaN,4,NaN,NaN,NaN,26,14,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,4,NaN,15,NaN,26,4,1,23,4,1,NaN,3,4,NaN,NaN,26,NaN,NaN,NaN,18,5,NaN,NaN,NaN,NaN,NaN,NaN,13,4,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,1,NaN,6,NaN,20,NaN,NaN,23,NaN,21,4,4,24,NaN,1,27,16,21,NaN,NaN,17,4,NaN,1,27,NaN,NaN,NaN,NaN,NaN,NaN,21,NaN,22,NaN,16,2,1,1,NaN,NaN,NaN
id14436,NaN,2,NaN,NaN,NaN,2,3,1,4,NaN,NaN,NaN,NaN,2,2,2,1,NaN,NaN,2,3,2,NaN,9,2,2,NaN,2,NaN,NaN,4,NaN,NaN,NaN,1,NaN,1,2,NaN,NaN,1,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,4,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,3,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,2,NaN,NaN,3,NaN,2,2,NaN,3,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14437,NaN,1,NaN,NaN,NaN,8,1,NaN,NaN,NaN,NaN,4,NaN,NaN,4,2,1,NaN,NaN,2,NaN,NaN,4,2,12,NaN,NaN,NaN,1,5,NaN,NaN,5,2,NaN,4,NaN,3,NaN,NaN,NaN,1,4,6,4,NaN,NaN,NaN,NaN,NaN,1,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,2,5,NaN,NaN,NaN,3,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,2,11,NaN,NaN,NaN,4,NaN,NaN,NaN,4,3,4,NaN,1,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN
id14438,NaN,NaN,NaN,2,1,NaN,8,5,NaN,NaN,NaN,NaN,NaN,11,7,7,3,NaN,8,NaN,NaN,1,NaN,2,NaN,17,NaN,3,NaN,NaN,NaN,5,NaN,1,1,NaN,NaN,5,7,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,1,9,NaN,NaN,NaN,NaN,2,2,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,8,1,4,NaN,5,NaN,1,NaN,4,NaN,NaN,NaN,NaN,NaN,5,5,1,NaN,NaN,NaN,NaN,NaN,7,1,1,13,1,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,1,NaN,7
id14439,NaN,NaN,10,NaN,6,NaN,NaN,NaN,NaN,15,8,NaN,16,NaN,5,NaN,NaN,5,NaN,5,6,NaN,15,NaN,NaN,NaN,27,NaN,14,NaN,NaN,14,NaN,NaN,5,NaN,3,NaN,8,14,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,2,NaN,14,5,NaN,NaN,NaN,2,5,12,NaN,NaN,14,NaN,14,NaN,15,13,5,5,16,10,11,NaN,NaN,12,6,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,5,21,NaN,11,6,12,5,NaN,NaN,5,NaN,5
id14440,NaN,4,NaN,NaN,2,NaN,4,1,NaN,NaN,NaN,2,NaN,2,3,3,NaN,4,1,NaN,2,4,NaN,2,NaN,3,NaN,10,NaN,NaN,NaN,NaN,4,1,2,NaN,NaN,2,1,NaN,2,4,2,NaN,2,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,1,2,NaN,1,4,1,NaN,3,1,2,2,1,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,NaN,2,NaN,NaN,NaN,1,4,NaN,1,NaN,1
id14441,NaN,NaN,22,1,NaN,1,NaN,NaN,NaN,28,13,NaN,24,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,1,NaN,14,NaN,31,NaN,NaN,22,NaN,NaN,NaN,2,3,1,NaN,28,NaN,NaN,2,19,NaN,NaN,NaN,NaN,NaN,NaN,1,15,NaN,NaN,NaN,NaN,NaN,2,23,2,NaN,1,NaN,6,NaN,16,2,NaN,23,3,23,NaN,4,23,NaN,NaN,28,17,23,NaN,NaN,20,1,NaN,NaN,28,NaN,NaN,NaN,1,NaN,1,22,NaN,24,NaN,16,NaN,NaN,NaN,NaN,NaN,NaN
id14442,NaN,1,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,1,NaN,NaN,2,6,NaN,4,NaN,5,NaN,NaN,NaN,NaN,14,NaN,NaN,6,4,NaN,6,NaN,NaN,5,NaN,2,2,NaN,2,4,1,NaN,NaN,6,NaN,1,2,4,6,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,6,5,NaN,NaN,NaN,NaN,NaN,6,3,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,11,NaN,NaN,1,NaN,2,NaN,NaN,NaN,NaN,5,NaN,NaN,6,NaN,3,NaN,NaN,NaN,1,6
