Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id14110,1,1,5,NaN,NaN,11,1,3,1,4,3,5,4,1,1,1,6,6,1,1,4,6,5,1,1,2,1,2,5,1,1,1,6,1,1,1,3,NaN,1,1,1,1,NaN,1,1,1,2,2
id14111,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,NaN,2,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14112,NaN,NaN,NaN,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14113,1,1,6,NaN,NaN,2,1,2,1,7,5,6,5,1,1,1,7,6,1,1,1,6,5,1,1,2,1,2,5,1,1,1,6,1,1,1,6,NaN,1,1,1,1,NaN,1,1,1,2,1
id14114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id14115,NaN,NaN,5,2,NaN,16,NaN,2,NaN,5,4,5,6,NaN,NaN,NaN,7,7,NaN,NaN,3,6,7,NaN,NaN,1,1,1,7,1,NaN,NaN,7,NaN,1,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id14117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14119,NaN,NaN,2,NaN,NaN,9,NaN,1,NaN,1,2,2,3,NaN,1,NaN,2,2,NaN,NaN,NaN,2,2,1,NaN,1,NaN,1,2,1,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id14120,NaN,NaN,1,1,NaN,9,NaN,1,NaN,2,1,1,3,NaN,NaN,NaN,3,2,NaN,NaN,1,2,2,1,NaN,1,NaN,1,2,2,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id14121,3,1,7,1,NaN,13,1,2,1,8,8,8,10,1,4,1,9,8,NaN,3,2,11,9,2,NaN,2,1,2,9,3,4,2,8,1,1,NaN,8,NaN,NaN,3,NaN,NaN,NaN,NaN,1,2,1,1
id14122,1,NaN,8,1,NaN,17,NaN,2,NaN,8,8,9,10,1,2,NaN,10,10,1,1,3,10,10,1,NaN,2,NaN,2,10,2,1,NaN,9,NaN,NaN,NaN,8,NaN,NaN,1,NaN,NaN,1,NaN,2,2,1,1
id14123,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14124,1,NaN,11,1,NaN,11,NaN,2,NaN,9,11,11,13,NaN,1,NaN,13,13,NaN,1,2,14,13,1,NaN,1,NaN,1,13,2,1,1,13,NaN,NaN,NaN,11,NaN,NaN,1,NaN,NaN,NaN,NaN,3,NaN,1,1
id14125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14219,2,2,6,1,1,13,2,3,1,7,4,6,6,2,2,1,7,6,2,2,2,6,5,3,2,2,2,4,5,3,2,2,6,1,2,1,6,1,2,2,2,2,NaN,1,2,2,3,2
