Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11920,id14092,id14094,id14096,id14101,id14103,id14104,id14105,id14107,id14108,id14110,id14113,id14119,id14120,id14121,id14122,id14219,id1496,id16033,id16094,id16282,id16296,id16297,id16301,id9547
id14094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,0.5
id14096,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id14101,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0
id14103,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0
id14104,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
id14105,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,1
id14107,1,1,NaN,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
id14108,NaN,1,1,1,0,NaN,1,1,1,NaN,1,NaN,NaN,0,NaN,1,1,1,0,NaN,NaN,1,1,1,1,NaN,1,0,1,1,1,1,1
id14110,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667
id14113,1,1,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1
id14119,NaN,1,1,NaN,0,NaN,1,NaN,NaN,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id14120,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.666666666666667,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id14121,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.666666666666667,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id14122,NaN,1,1,NaN,0,NaN,1,NaN,NaN,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id14219,0.5,0.5,0.5,0,0,NaN,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5
id1496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16033,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,NaN,1,0.5,1,1,1,1,1
id16094,1,1,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1
id16280,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0
id16282,0,0.5,0.5,0,0,NaN,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,NaN,0.5,0.5,0.5,1,0,0.5,0.5
id16283,NaN,1,1,1,0,NaN,1,1,1,1,1,1,1,0,1,1,1,1,0.5,0,1,1,1,1,1,NaN,1,0.5,1,1,1,1,1
id16285,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0
id16286,NaN,1,1,NaN,0,NaN,1,NaN,NaN,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id16296,NaN,1,1,1,0,NaN,1,1,1,1,1,1,1,0,1,1,1,1,0.5,0,1,1,1,1,1,NaN,1,0.5,1,1,1,1,1
id16297,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0
id16299,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id16301,NaN,1,1,NaN,0,NaN,1,NaN,NaN,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id16303,NaN,1,1,NaN,0,NaN,1,NaN,NaN,1,1,1,1,0,1,1,1,NaN,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1
id17428,1,1,NaN,1,1,1,1,1,1,0,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,NaN,NaN,1,0,NaN,NaN,NaN,NaN,0
id17429,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id9547,0.75,0.5,0.666666666666667,0.75,0,1,0.75,0.666666666666667,0.75,0.5,0.666666666666667,0.666666666666667,0,0,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0,0.5,0.5,0.5,1,0,0.5,0.75
