Row,id11238,id11239,id11241,id11242,id11244,id11245,id11249,id11251,id11253,id11255,id11256,id11257,id11258,id11259,id12121,id12122,id12195,id13719,id13750,id13903,id15988,id15989,id15990,id15991,id15993,id15995,id15996,id15999,id16000,id16002,id16004,id16005,id16006,id16007,id16008,id16009,id16018,id16019,id16108,id16244,id2593,id2599,id2601,id2602,id2604,id2605,id2606,id2607,id2610,id2612,id2613,id2615,id2616,id2619,id2620,id2621,id2622,id2624,id2625,id2627,id2628,id2629,id2631,id2633,id2636,id2637,id2638,id2639,id2641,id2642,id2643,id2647,id2648,id2649,id2650,id2652,id2654,id2655,id2657,id2659,id2660,id2663,id2664,id2667,id2669,id2672,id2673,id2676,id2677,id2679,id2681,id2684,id2690,id2691,id2692,id2694,id2695,id2700,id2701,id2706,id2707,id2708,id2709,id2712,id2713,id2715,id2716,id2718,id2721,id2723,id2725,id2726,id2728,id2730,id2736
id15991,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id15993,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id15995,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id15996,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id15999,26,24,22,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,28,28,28,28,27,28,27,28,28,14,28,7,2,28,25,28,23,24,27,28,24,24,21,25,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,25,28,28,21,26,27,28,27,26,26,28,28,28,21,20,26,28,28,28,28,28,27,26,27,27,28,25,26,26,24,28,25,28,28,1,27,28,24,26,28,26,26
id16000,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id16002,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id16004,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id16005,26,24,22,28,26,26,27,28,28,28,21,26,28,24,27,23,26,27,24,28,28,28,26,28,28,28,28,27,28,28,28,28,28,27,28,28,14,28,7,2,28,25,28,22,24,26,28,24,24,21,24,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,25,28,28,21,26,27,28,27,26,25,28,28,28,21,21,26,28,28,28,28,27,26,26,27,26,28,25,26,25,24,28,25,28,28,1,27,28,24,26,27,25,26
id16006,27,25,23,29,27,27,28,29,29,29,22,27,29,25,28,24,27,28,25,29,29,29,27,29,29,29,29,28,29,29,29,28,29,28,29,29,15,29,8,3,29,26,29,23,25,27,29,25,25,22,25,22,29,27,29,29,29,29,22,29,23,29,29,27,28,29,29,27,28,28,29,26,29,26,29,29,22,27,28,29,28,27,26,29,29,29,22,21,27,29,29,29,29,28,27,27,28,27,29,26,27,26,25,29,26,29,29,1,28,29,25,27,28,26,27
id16007,26,24,22,28,26,26,28,28,28,28,22,26,28,24,27,23,27,27,24,28,28,28,26,28,28,28,28,27,28,28,28,27,28,28,28,28,15,28,7,3,28,25,28,22,24,26,28,24,24,21,25,21,28,26,28,28,28,28,21,28,22,28,28,26,27,28,28,26,27,27,28,25,28,26,28,28,22,26,27,28,27,26,25,28,28,28,21,21,26,28,28,28,28,27,26,26,28,26,28,26,26,25,24,28,25,28,28,NaN,28,28,24,26,27,25,27
