bill_id,date,action
815128,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815129,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815130,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815131,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815131,2016-10-13,"Reported from Senate Committee with Amendments, 2nd Reading"
815131,2016-10-13,"Referred to Senate Budget and Appropriations Committee"
815132,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815133,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815134,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815134,2016-02-04,"Reported from Senate Committee, 2nd Reading"
815134,2016-02-08,"Referred to Senate Budget and Appropriations Committee"
815134,2016-03-07,"Reported from Senate Committee, 2nd Reading"
815134,2016-05-26,"Passed by the Senate (23-14)"
815134,2016-05-26,"Received in the Assembly, Referred to Assembly Appropriations Committee"
815135,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815136,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815137,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815138,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815139,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815140,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815141,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815142,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815142,2016-09-08,"Reported from Senate Committee with Amendments, 2nd Reading"
815142,2016-09-08,"Referred to Senate Budget and Appropriations Committee"
815143,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815143,2016-02-04,"Withdrawn from Consideration"
815144,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815145,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815146,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815146,2016-09-29,"Reported from Senate Committee, 2nd Reading"
815147,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815148,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815149,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815150,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815151,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815152,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815153,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815154,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815155,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815156,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815157,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815157,2016-02-08,"Reported from Senate Committee, 2nd Reading"
815157,2016-02-08,"Referred to Senate Budget and Appropriations Committee"
815158,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815159,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815160,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815161,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815162,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815163,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815164,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815165,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815166,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815167,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815168,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815169,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815170,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815171,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815171,2016-05-20,"Reviewed by the Pension and Health Benefits Commission Recommend to not enact"
815171,2016-06-06,"Reported from Senate Committee with Amendments, 2nd Reading"
815171,2016-06-06,"Referred to Senate Budget and Appropriations Committee"
815172,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815173,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815174,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815175,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815176,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815177,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815178,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815179,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815179,2016-05-23,"Reported from Senate Committee as a Substitute, 2nd Reading"
815179,2016-06-23,"Senate Amendment (28-0) (Cruz-Perez)"
815179,2016-06-27,"Passed by the Senate (30-9)"
815179,2016-06-27,"Received in the Assembly, Referred to Assembly State and Local Government Committee"
815179,2016-09-19,"Reported out of Assembly Comm. with Amendments, 2nd Reading"
815180,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815181,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815181,2016-02-04,"Withdrawn from Consideration"
815182,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815183,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815184,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815185,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815186,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815187,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815188,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815189,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815190,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815191,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815191,2016-02-04,"Reported from Senate Committee with Amendments, 2nd Reading"
815191,2016-02-08,"Referred to Senate Budget and Appropriations Committee"
815191,2016-03-07,"Reported from Senate Committee with Amendments, 2nd Reading"
815191,2016-05-09,"Passed by the Senate (37-1)"
815191,2016-05-12,"Received in the Assembly, Referred to Assembly Law and Public Safety Committee"
815191,2016-06-02,"Reported out of Assembly Committee, 2nd Reading"
815191,2016-06-16,"Assembly Floor Amendment Passed (Johnson)"
815191,2016-06-30,"Substituted for A3470 (2R)"
815191,2016-06-30,"Passed by the Assembly (68-7-0)"
815191,2016-07-14,"Received in the Senate, 2nd Reading on Concurrence"
815191,2016-10-20,"Passed Senate (Passed Both Houses) (34-0)"
815192,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815193,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815194,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815195,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815196,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815197,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815198,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815199,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815200,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815201,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815202,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815203,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815204,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815205,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815206,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815207,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815208,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815209,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815209,2016-03-07,"Reported from Senate Committee with Amendments, 2nd Reading"
815209,2016-03-14,"Senate Amendment (22-0) (Weinberg)"
815209,2016-06-23,"Senate Amendment (22-0) (Weinberg)"
815210,2016-01-12,"Introduced in the Senate, Referred to Senate Transportation Committee"
815211,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815212,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815212,2016-09-29,"Reported from Senate Committee with Amendments, 2nd Reading"
815212,2016-09-29,"Referred to Senate Budget and Appropriations Committee"
815213,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815214,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815215,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815216,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815217,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815218,2016-01-12,"Introduced in the Senate, Referred to Senate Commerce Committee"
815219,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815219,2016-03-07,"Reported from Senate Committee, 2nd Reading"
815219,2016-05-09,"Passed by the Senate (40-0)"
815219,2016-05-12,"Received in the Assembly, Referred to Assembly Housing and Community Development Committee"
815220,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815221,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815221,2016-03-07,"Reported from Senate Committee, 2nd Reading"
815221,2016-05-09,"Passed by the Senate (39-0)"
815221,2016-05-12,"Received in the Assembly, Referred to Assembly Agriculture and Natural Resources Committee"
815222,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815223,2016-01-12,"Introduced in the Senate, Referred to Senate Labor Committee"
815224,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815225,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815226,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815227,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815228,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815229,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815230,2016-01-12,"Introduced in the Senate, Referred to Senate Environment and Energy Committee"
815231,2016-01-12,"Introduced in the Senate, Referred to Senate Economic Growth Committee"
815232,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815233,2016-01-12,"Introduced in the Senate, Referred to Senate Higher Education Committee"
815234,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815234,2016-03-18,"Reviewed by the Pension and Health Benefits Commission Recommend to enact"
815235,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815236,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815237,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815238,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815239,2016-01-12,"Introduced in the Senate, Referred to Senate Budget and Appropriations Committee"
815240,2016-01-12,"Introduced in the Senate, Referred to Senate Law and Public Safety Committee"
815241,2016-01-12,"Introduced in the Senate, Referred to Senate Community and Urban Affairs Committee"
815241,2016-06-16,"Reported from Senate Committee with Amendments, 2nd Reading"
815241,2016-06-16,"Referred to Senate Budget and Appropriations Committee"
815241,2016-09-26,"Reported from Senate Committee, 2nd Reading"
815242,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815243,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815244,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815245,2016-01-12,"Introduced in the Senate, Referred to Senate Judiciary Committee"
815246,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815247,2016-01-12,"Introduced in the Senate, Referred to Senate Health, Human Services and Senior Citizens Committee"
815248,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815249,2016-01-12,"Introduced in the Senate, Referred to Senate Education Committee"
815250,2016-01-12,"Introduced in the Senate, Referred to Senate State Government, Wagering, Tourism & Historic Preservation Committee"
815250,2016-02-04,"Reported from Senate Committee, 2nd Reading"
815250,2016-02-11,"Motion To Sa (Kean)"
815250,2016-02-11,"Motion To Table (Weinberg) (21-13)"
815250,2016-02-11,"Passed by the Senate (25-9)"
815250,2016-02-16,"Received in the Assembly, Referred to Assembly Transportation and Independent Authorities Committee"
815250,2016-03-07,"Transferred to Assembly State and Local Government Committee"
815250,2016-03-07,"Reported out of Assembly Committee, 2nd Reading"
815250,2016-04-07,"Substituted for A2184"
