Row,id11052,id11061,id11074,id11199,id11893,id11905,id11907,id11909,id11910,id11966,id11967,id11969,id11971,id14081,id14887,id14889,id15313,id15315,id15318,id15348,id15350,id15418,id16055,id16519,id16520,id16521,id16522,id16523,id16524,id8981,id8986,id9004,id9047,id9057,id9061,id9107,id9185,id9210,id9212,id9244,id9255,id9265,id9305,id9357,id9367,id9398,id9401,id9402,id9403,id9405,id9408,id9412,id9413,id9414,id9415,id9416,id9417,id9422,id9423,id9424,id9425,id9427,id9428,id9429,id9431,id9432,id9434,id9441,id9443,id9444,id9445,id9448,id9450,id9452,id9455,id9456,id9459,id9460,id9463,id9469,id9471,id9472,id9473,id9476,id9478,id9482,id9483,id9484,id9486,id9487,id9488,id9489,id9491,id9492,id9493,id9496,id9497,id9500,id9624,id9625
id11967,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
id11969,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
id11971,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
id14081,13,14,29,32,28,32,32,30,29,32,32,32,32,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,32,30,30,14,30,32,14,32,12,30,30,30,29,31,26,31,31,32,32,28,32,32,32,32,32,32,32,32,32,32,32,32,30,32,27,32,32,31,32,31,32,31,30,30,32,32,32,32,32,32,30,32,30,32,31,32,32,31,27,32,31,32,32,31,32,32,32,31
id14887,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
id14889,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
id15313,11,11,26,27,25,27,27,25,26,27,27,27,27,27,11,11,27,27,26,26,27,25,18,11,11,11,11,9,11,20,27,27,27,27,27,11,26,27,11,27,9,27,25,27,26,26,24,26,26,27,27,23,27,27,27,27,27,27,27,27,27,27,27,27,25,27,23,27,27,26,27,26,27,26,25,27,27,27,27,27,27,27,26,27,25,27,26,27,27,26,24,27,26,27,27,27,27,27,27,26
id15315,13,14,29,30,26,30,30,28,27,30,30,30,30,30,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,30,30,30,14,28,30,14,30,12,30,28,30,29,29,26,29,29,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,28,30,25,30,30,29,30,29,30,29,28,28,30,30,30,30,30,30,29,30,28,30,29,30,30,29,25,30,29,30,30,30,30,30,30,29
id15318,13,14,28,29,25,29,29,27,26,29,29,29,29,29,14,14,26,29,29,28,29,27,20,14,14,14,14,12,14,22,29,29,29,29,29,14,27,29,14,29,12,29,27,29,28,28,25,28,28,29,29,25,29,29,29,29,29,29,29,29,29,29,29,29,27,29,24,29,29,28,29,28,29,28,27,27,29,29,29,29,29,29,28,29,27,29,28,29,29,28,24,29,28,29,29,29,29,29,29,28
id15348,13,14,28,29,25,29,29,27,26,29,29,29,29,29,14,14,26,29,28,29,29,27,21,14,14,14,14,12,14,23,29,29,29,29,29,14,27,29,14,29,12,29,27,29,28,28,25,28,28,29,29,25,29,29,29,29,29,29,29,29,29,29,29,29,28,29,24,29,29,28,29,28,29,28,27,27,29,29,29,29,29,29,28,29,27,29,28,29,29,28,24,29,28,29,29,29,29,29,29,28
id15350,13,14,29,30,26,30,30,28,27,30,30,30,30,30,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,30,30,30,14,28,30,14,30,12,30,28,30,29,29,26,29,29,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,28,30,25,30,30,29,30,29,30,29,28,28,30,30,30,30,30,30,29,30,28,30,29,30,30,29,25,30,29,30,30,30,30,30,30,29
id15418,11,12,27,28,24,28,28,26,25,28,28,28,28,28,12,12,25,28,27,27,28,28,19,12,12,12,12,10,12,21,28,28,28,28,28,12,26,28,12,28,10,28,26,28,27,27,24,27,27,28,28,24,28,28,28,28,28,28,28,28,28,28,28,28,26,28,25,28,28,27,28,27,28,27,26,26,28,28,28,28,28,28,27,28,26,28,27,28,28,27,23,28,27,28,28,28,28,28,28,27
id16055,13,14,20,21,18,21,21,19,18,21,21,21,21,21,14,14,18,21,20,21,21,19,21,14,14,14,14,12,14,21,21,21,21,21,21,14,19,21,14,21,12,21,20,21,20,20,17,20,20,21,21,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,21,21,21,21,21,21,20,19,19,21,21,21,21,21,21,21,21,20,21,20,21,21,20,16,21,21,21,21,21,21,21,21,21
id16519,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
id16520,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
id16521,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
