name,party_name,year,district,ag_count,candidate_count,comm_count,construct_count,defense_count,energy_count,finance_count,general_count,government_count,health_count,ideology_count,labor_count,law_count,non_count,partyfund_count,public_count,transportation_count,uncoded_count,unitem_count,total_count,ag,candidate,comm,construct,defense,energy,finance,general,government,health,ideology,labor,law,non,partyfund,public,transportation,uncoded,unitem,total,year_count
"BECKER, VANETA G",REPUBLICAN,2012,SENATE DISTRICT 050,2,3,8,13,0,17,27,38,1,113,0,74,31,0,0,0,7,166,37,537,682.5,1870,2878,6252,0,4523,12143,15141.2603,120,46066.95,0,52295,22053,0,0,0,3502,53153.5956,2811.9444,223492.2503,2
"BECKERMAN, KEN A",REPUBLICAN,2010,HOUSE DISTRICT 064,0,14,0,0,0,0,0,3,0,15,1,0,0,0,4,0,0,79,5,121,0,28256.92,0,0,0,0,0,19183.62,0,3181.17,28000,0,0,0,28900,0,0,8664.93,5876.29,122062.93,1
"BEHNING, ROBERT W (BOB)",REPUBLICAN,2010,HOUSE DISTRICT 091,0,11,22,13,2,50,29,54,7,47,24,2,38,0,6,0,4,100,0,409,0,15622.38,13550,13789,651,22772.486,33868,61362.0993,8790,17319,129018.6657,400,11245,0,15297.48,0,1137,91768.25,0,436590.361,4
"BELL, MATTHEW (MATT)",REPUBLICAN,2010,HOUSE DISTRICT 083,2,5,5,5,0,9,9,22,0,7,1,2,6,0,0,0,5,58,0,136,500,5820.96,1500,3850,0,6750,7150,10300,0,2400,250,750,2000,0,0,0,1775,19600,0,62645.96,1
"BELL, REX",LIBERTARIAN,2010,HOUSE DISTRICT 054,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,1060,0,5060,1
"BENDER, CHARLES ALBERT",DEMOCRATIC,2012,SENATE DISTRICT 024,0,0,9,0,0,0,0,0,1,1,0,1,0,0,1,0,0,6,0,19,0,0,9506.0544,0,0,0,0,0,192,1152,0,144,0,0,72,0,0,960,0,12026.0544,1
"BENNETT, PHILIP S",DEMOCRATIC,2016,HOUSE DISTRICT 078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,18.2,1
"BERRY, JULIE",DEMOCRATIC,2014,SENATE DISTRICT 045,0,37,0,2,0,0,1,2,3,1,13,29,11,0,21,0,0,252,35,407,0,11630.6358,0,3720,0,0,93,116.25,372,93,1536.4065,80394.2406,4605.5274,0,93970.3806,0,0,43419.8121,3658.1643,243609.4173,1
"BEUMER, GREG",REPUBLICAN,2014,HOUSE DISTRICT 033,5,4,6,6,0,20,25,15,0,3,3,2,13,0,2,0,1,90,7,202,3093.5,1348.5,2382,4646.5,0,8144,7959,6165,0,778.5,1438.5,734,3630.5,0,9486,0,455,21877.1471,2312.91,74451.0571,2
"BIERNACKI, KAREN",DEMOCRATIC,2016,HOUSE DISTRICT 020,0,7,0,2,0,0,0,1,1,4,0,24,11,0,0,0,0,126,2,178,0,12331.6102,0,182,0,0,0,136.5,22.75,1865.5,0,46273.5,6688.5,0,0,0,0,37466.3835,4829.0606,109795.8043,1
"BISCHOFF, ROBERT J",DEMOCRATIC,2010,HOUSE DISTRICT 068,3,1,8,6,0,10,11,11,0,8,3,25,14,0,26,0,4,163,1,294,1790,100,4550,3600,0,3500,7300,4150,0,2600,1750,63987.5,5650,0,266832.22,0,1450,25760,6641.52,399661.24,1
"BISHOP, WESLEY",LIBERTARIAN,2012,HOUSE DISTRICT 096,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,12,0,337.296,0,24,0,0,0,192,0,0,0,0,0,0,0,0,0,451.2,0,1004.496,1
"BLACK, DANA",DEMOCRATIC,2016,HOUSE DISTRICT 088,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,22,0,647.8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10317.7802,9927.0808,20892.6809,1
"BLANK, DAVID T",REPUBLICAN,2010,HOUSE DISTRICT 099,0,11,0,0,0,0,1,0,2,3,0,2,0,0,0,0,0,156,13,188,0,2209.9316,0,0,0,0,48,0,432,1460,0,596,0,0,0,0,0,18829.6,2567,26142.5316,2
