chamb,thirdparty,republican,democratic,election_year,candidate,cumulative
0,0,1,0,2014,"COX, CASEY",2
0,0,0,1,2000,"CRAWFORD, WILLIAM A",15
0,0,0,1,2002,"CRAWFORD, WILLIAM A",16
0,0,0,1,2004,"CRAWFORD, WILLIAM A",17
0,0,0,1,2006,"CRAWFORD, WILLIAM A",18
0,0,0,1,2008,"CRAWFORD, WILLIAM A",19
0,0,0,1,2010,"CRAWFORD, WILLIAM A",20
0,0,0,1,2000,"CROOKS, DAVID L",3
0,0,0,1,2002,"CROOKS, DAVID L",4
0,0,0,1,2004,"CROOKS, DAVID L",5
0,0,0,1,2006,"CROOKS, DAVID L",6
0,0,0,1,2000,"CROSBY, SUSAN RAY",6
0,0,1,0,2006,"CROUCH, SUZANNE M",2
0,0,1,0,2008,"CROUCH, SUZANNE M",3
0,0,1,0,2010,"CROUCH, SUZANNE M",4
0,0,1,0,2012,"CROUCH, SUZANNE M",5
0,0,1,0,2008,"CULVER, WES",1
0,0,1,0,2010,"CULVER, WES",2
0,0,1,0,2012,"CULVER, WES",3
0,0,1,0,2014,"CULVER, WES",1
0,0,1,0,2004,"DAVIS, BILL J",1
0,0,1,0,2006,"DAVIS, BILL J",2
0,0,1,0,2008,"DAVIS, BILL J",3
0,0,1,0,2010,"DAVIS, BILL J",4
0,0,1,0,2012,"DAVIS, BILL J",5
0,0,1,0,2010,"DAVISSON, STEVEN",1
0,0,1,0,2012,"DAVISSON, STEVEN",2
0,0,1,0,2014,"DAVISSON, STEVEN",1
0,0,0,1,2000,"DAY, JOHN J",3
0,0,0,1,2002,"DAY, JOHN J",4
0,0,0,1,2004,"DAY, JOHN J",5
0,0,0,1,2006,"DAY, JOHN J",6
0,0,0,1,2008,"DAY, JOHN J",7
0,0,0,1,2010,"DAY, JOHN J",8
0,0,0,1,2008,"DELANEY, EDWARD O",1
0,0,0,1,2010,"DELANEY, EDWARD O",2
0,0,0,1,2012,"DELANEY, EDWARD O",3
0,0,0,1,2014,"DELANEY, EDWARD O",4
0,0,0,1,2006,"DEMBOWSKI, NANCY",1
0,0,0,1,2008,"DEMBOWSKI, NANCY",2
0,0,0,1,2010,"DEMBOWSKI, NANCY",3
0,0,0,1,2000,"DENBO, JERRY L",6
0,0,0,1,2002,"DENBO, JERRY L",7
0,0,0,1,2004,"DENBO, JERRY L",8
0,0,0,1,2006,"DENBO, JERRY L",9
0,0,1,0,2010,"DERMODY, THOMAS",3
0,0,1,0,2012,"DERMODY, THOMAS",4
0,0,1,0,2014,"DERMODY, THOMAS",5
0,0,1,0,2006,"DERMODY, TOM",1
0,0,1,0,2008,"DERMODY, TOM",2
0,0,1,0,2012,"DEVON, DALE R",1
0,0,1,0,2014,"DEVON, DALE R",2
0,0,0,1,2000,"DICKINSON, MAE",5
0,0,0,1,2002,"DICKINSON, MAE",6
0,0,0,1,2004,"DICKINSON, MAE",7
0,0,0,1,2006,"DICKINSON, MAE",8
0,0,1,0,2000,"DILLON, DR GARY P",2
0,0,0,1,2000,"DOBIS, CHESTER F",16
0,0,0,1,2002,"DOBIS, CHESTER F",17
0,0,0,1,2004,"DOBIS, CHESTER F",18
0,0,0,1,2006,"DOBIS, CHESTER F",19
0,0,0,1,2008,"DOBIS, CHESTER F",20
0,0,0,1,2010,"DOBIS, CHESTER F",21
0,0,1,0,2004,"DODGE, RICHARD A (DICK)",1
0,0,1,0,2006,"DODGE, RICHARD A (DICK)",2
0,0,1,0,2008,"DODGE, RICHARD A (DICK)",3
0,0,1,0,2010,"DODGE, RICHARD A (DICK)",4
0,0,1,0,2000,"DUMEZICH, DANIEL A",2
0,0,1,0,2000,"DUNCAN, CLEO",4
0,0,1,0,2002,"DUNCAN, CLEO",5
0,0,1,0,2004,"DUNCAN, CLEO",6
0,0,1,0,2006,"DUNCAN, CLEO",7
0,0,1,0,2008,"DUNCAN, CLEO",8
0,0,0,1,2000,"DVORAK, RYAN MICHAEL",8
0,0,0,1,2002,"DVORAK, RYAN MICHAEL",1
0,0,0,1,2004,"DVORAK, RYAN MICHAEL",2
0,0,0,1,2006,"DVORAK, RYAN MICHAEL",3
0,0,0,1,2008,"DVORAK, RYAN MICHAEL",4
0,0,0,1,2010,"DVORAK, RYAN MICHAEL",5
0,0,0,1,2012,"DVORAK, RYAN MICHAEL",6
0,0,0,1,2014,"DVORAK, RYAN MICHAEL",7
0,0,1,0,2006,"EBERHART, SEAN R",1
