bill_number,bill_id,title
LB944,150475,"Provide for publication of certain items on school district web sites"
LB945,150476,"Prohibit use of handheld wireless communication devices while driving"
LB946,150477,"Provide for court-ordered postsecondary education subsidy orders"
LB947,150478,"Eliminate the Community Development Block Grant Program Advisory Committee"
LB948,150479,"Change provisions relating to agency requisitions and competitive bidding"
LB949,150480,"Change provisions relating to state and local building codes"
LB950,150481,"Change provisions relating to retirement"
LB951,150482,"Change provisions relating to early voting, multiple officeholding, and provisional ballots"
LB952,150483,"Exempt certain public utility income for infrastructure replacement and sewer programs from sales tax"
LB953,150484,"Provide a rate of payment for certain medical services in emergency protective custody situations"
LB954,150485,"Establish a limit on refunds of local option taxes under the Nebraska Advantage Act"
LB955,150486,"Adopt the Correctional Facility Reimbursement Act"
LB956,150487,"Rename the Nebraska Scholarship Act and change award provisions"
LB957,150488,"Provide for memoranda of understanding related to student information sharing"
LB958,150489,"Exempt retirement benefits and social security benefits from income tax"
LB959,150490,"Prohibit certain discriminatory acts or practices related to the business of insurance "
LB960,150491,"Change provisions relating to net metering"
LB961,150492,"Provide for economic development training grants and change job training grant provisions"
LB962,150493,"Require blood lead testing prior to school enrollment"
LB964,150494,"Prohibit the leasing of land in a county road right-of-way for oil and gas exploration and development"
LB965,150495,"Change school board and educational service unit vacancy provisions"
LB966,150496,"Adopt the Classroom Educational Expenditure Act"
LB967,150497,"Change local option sales tax refund provisions for certain tax incentive laws"
LB968,150498,"Redefine abuse for certain domestic violence situations"
LB969,150499,"Provide for terms of office for municipal officers"
LB970,150500,"Change provisions relating to appeals from county planning commission decisions"
LB971,150501,"Change provisions relating to care and placement of neglected children and children in foster care"
LB972,150502,"Change a date related to certain political subdivision budget filings"
LB973,150503,"Change provisions relating to the central register of child protection cases and authorize a hearing "
LB974,150504,"Change permissible uses of a learning community levy as prescribed"
LB975,150505,"Change the Convention Center Facility Financing Assistance Act relating to projects undertaken in areas with a high concentration of poverty"
LB976,150506,"Change a budget limitation"
LB977,150507,"Require new state buildings and renovations to comply with energy efficiency standards"
LB978,150508,"Provide requirements relating to energy star certified appliances in the state's competitive bidding process"
LB979,150509,"Provide for the transition of certain employees to the State Employees Retirement System"
LB980,150510,"Change personal services contract requirements and provide restrictions on privatization contracts"
LB981,150511,"Provide for review of the tax expenditure report"
LB982,150512,"Adopt the Build Nebraska Act and authorize issuance of highway bonds"
LB983,150513,"Authorize and regulate skilled mechanical amusement devices"
LB984,150514,"Change a penalty relating to child abuse"
LB985,150515,"Adopt the Nebraska Charitable Poker Act"
LB986,150516,"Authorize grants for electronic scanners and point-of-sale devices at farmers markets"
LB987,150517,"Create the Lead-Based Paint Hazard Control Program and provide duties for the Department of Economic Development"
LB989,150518,"Provide for administrative segregation of certain committed offenders as prescribed"
LB990,150519,"Change reduction of sentence provisions for a person sentenced to a city or county jail"
LB991,150520,"Provide a special permit for farmers hauling hay and change livestock-forage-vehicle provisions"
LB992,150521,"Provide for treatment relating to sexually transmitted diseases as prescribed"
LB993,150522,"Change permissible uses of the Water Resources Cash Fund"
LB994,150523,"Change a provision relating to workers' compensation hearing locations"
LB995,150524,"Change a provision in the Industrial Relations Act relating to employee representation"
LB996,150525,"Change provisions relating to use of the federal immigration verification system by public contractors"
LB997,150526,"Require city and county comprehensive plans to include an energy element"
LB998,150527,"Provide regional service centers for the issuance of driver's licenses and state identification cards"
LB999,150528,"Provide a moratorium on new hospital licenses and a study on health care"
LB1000,150529,"Change eligibility for licensure for managers and limited liability companies under the Nebraska Liquor Control Act"
LB1001,150530,"Change and eliminate residency provisions relating to postsecondary education"
LB1002,150531,"Provide for applications to the Commission on Indian Affairs for state assistance"
LB1003,150532,"Provide for provisional ballots for change of residence in Nebraska"
LB1004,150533,"Allow operation of golf car vehicles and low-speed vehicles on highways as prescribed"
LB1005,150534,"Create the Substance Abuse Treatment Grant Program under the Native American Public Health Act"
LB1006,150535,"Change provisions relating to kindergarten entrance age"
LB1007,150536,"Provide for performance measures under the Quality Education Accountability Act"
LB1008,150537,"Provide for cash basis or modified accrual or encumbrance basis budget statements under the Nebraska Budget Act as prescribed"
LB1009,150538,"Change provisions relating to the date for fixing salaries of certain county officers"
LB1010,150539,"Provide procedures and limitations on the use of eminent domain by natural resources districts for recreational trails"
LB1011,150540,"Limit the eminent domain power of natural resources districts to exclude certain recreational trails"
LB1012,150541,"Change State Racing Commission membership provisions"
LB1013,150542,"Provide for extended closing time for alcoholic liquor retail licensees as prescribed"
LB1014,150543,"Provide for establishment of teacher performance pay in FY2016-17 subject to collective-bargaining agreements"
LB1015,150544,"Adopt the Interstate Compact on the Agreement Among the States to Elect the President by National Popular Vote"
LB1016,150545,"Adopt the Nebraska Statewide Water Planning Commission Act"
LB1017,150546,"Provide requirements for insurers for prescription drug coverage"
LB1018,150547,"Adopt the Nebraska Advantage Transformational Tourism and Redevelopment Act and restrict the use of municipal initiative and referendum on action permitted by the act"
LB1019,150548,"Provide for trails dispute boards to decide disputes between county boards and natural resources districts concerning recreational trails"
LB1020,150549,"Change provisions relating to benefit eligibility under the Employment Security Law"
LB1021,150550,"Adopt the High School Activities Association Act"
LB1022,150551,"Provide for alkaline hydrolysis disposition of dead human bodies"
LB1023,150552,"Change provisions relating to keno"
LB1024,150553,"Create the Snow Removal Advisory Committee"
LB1025,150554,"Change provisions relating to stays on new water appropriations"
LB1026,150555,"Provide for transfers of civil actions in district court"
LB1027,150556,"Change Developmental Disabilities Services Act provisions"
LB1028,150557,"Adopt the Charter Schools Act"
LB1029,150558,"Change court nonjudicial days provisions"
LB1030,150559,"Appropriate funds to the Attorney General to aid in enforcing the Competitive Livestock Markets Act"
LB1031,150560,"Change tax levy authority relating to natural resources districts"
LB1032,150561,"Change tax levy authority relating to natural resources districts"
LB1033,150562,"Change provisions relating to regulation of concealed handguns"
LB1034,150563,"Define tuition and fees for purposes of the Community College Foundation and Equalization Aid Act"
LB1035,150564,"Provide powers for counties, cities, and villages to control and abate public health nuisances"
LB1036,150565,"Adopt the Revised Uniform Anatomical Gift Act"
LB1037,150566,"Change provisions relating to support enforcement and arrearages"
LB1038,150567,"Change provisions relating to informed consent for genetic testing"
LB1039,150568,"Adopt the Fire Extinguishing Certification Act"
LB1040,150569,"Adopt the Nebraska Municipal Comparability Act for use in industrial disputes involving public employees"
