bill_number,bill_id,title
HB157,216668,Health Care Safety Net Enhancement Act of 2011
HB158,216669,EXPENSE Act of 2011
HB159,216670,TBI Treatment Act
HB160,216671,Social Security Fairness for the Terminally Ill Act of 2011
HB161,216672,To amend the Internal Revenue Code of 1986 to allow Head Start teachers the same above-the-line deduction for supplies as is allowed to elementary and secondary school teachers.
HB162,216673,Ninth Circuit Court of Appeals Judgeship and Reorganization Act of 2011
HB163,216674,Central Idaho Economic Development and Recreation Act
HB164,216675,Damaged Vehicle Information Act
HB165,216676,To authorize the Secretary of Health and Human Services to make grants to nonprofit tax-exempt organizations for the purchase of ultrasound equipment to provide free examinations to pregnant women needing such services and for other purposes.
HB166,216677,Internet Investment Innovation and Competition Preservation Act
HB167,216678,To provide that no Federal funds may be used for the design renovation construction or rental of any headquarters for the United Nations in any location in the United States unless the President transmits to Congress a certification that the United Nations has adopted internationally recognized best practices in contracting and procurement.
HB168,216679,To direct the Secretary of Veterans Affairs to improve the prevention diagnosis and treatment of veterans with chronic obstructive pulmonary disease.
HB169,216680,To require the Secretary of Veterans Affairs to include on the main page of the Internet website of the Department of Veterans Affairs a hyperlink to the VetSuccess Internet website and to publicize such Internet website.
HB170,216681,Simple Savings Tax Relief Act of 2011
HB171,216682,Health Care Tax Deduction Act of 2011
HB172,216683,Deficit Accountability Act of 2011
HB173,216684,Medicare Fraud Prevention Act of 2011
HB174,216685,Homeland Security Cyber and Physical Infrastructure Protection Act of 2011
HB175,216686,Smart Housing in Disasters Act of 2011
HB176,216687,Federal Protective Service Improvement and Accountability Act of 2011
HB177,216688,Death Tax Repeal Act
HB178,216689,Military Surviving Spouses Equity Act
HB179,216690,To amend title 10 United States Code to eliminate the requirement that certain former members of the reserve components of the Armed Forces be at least 60 years of age in order to be eligible to receive health care benefits.
HB180,216691,To amend the National Guard Youth Challenge Program under title 32 United States Code to exclude nondefense funds made available by other Federal agencies for the Program from the matching requirements of the Program.
HB181,216692,National Guardsmen and Reservists Parity for Patriots Act
HB182,216693,National Commission on American Recovery and Reinvestment Act of 2011
HB183,216694,To direct the Secretary of Veterans Affairs to carry out a study on the acquisition of land adjacent to Beaufort National Cemetery Beaufort South Carolina.
HB184,216695,Adoption Tax Relief Guarantee Act of 2011
HB185,216696,Permanent Tax Relief Act of 2011
HB186,216697,To amend title 10 United States Code to expand the eligibility for concurrent receipt of military retired pay and veterans' disability compensation to include all members of the uniformed services who are retired under chapter 61 of such title for disability regardless of the members' disability rating percentage.
HB187,216698,Congressional Pay Reform Act of 2011
HB188,216699,Government Spending Responsibility Act
HB189,216700,To repeal the Troubled Asset Relief Program and to prevent future bailouts.
HB190,216701,Protecting America's Workers Act
HB191,216702,Public Option Deficit Reduction Act
HB192,216703,Gulf of the Farallones and Cordell Bank National Marine Sanctuaries Boundary Modification and Protection Act
HB193,216704,For the relief of Zdenko Lisak.
HB194,216705,For the relief of Martha Palmillas de Morales.
HB195,216706,For the relief of Nery Antonio Velasquez-Roblero.
HB196,216707,Simplifying The Ambiguous Law Keeping Everyone Reliably Safe Act of 2011
HB197,216708,To confer upon the United States Court of Federal Claims jurisdiction to hear determine and render final judgment on any legal or equitable claim against the United States to receive just compensation for the taking of certain lands in the State of Missouri and for other purposes.
HB198,216709,Veterans Dog Training Therapy Act
HB199,216710,Protect America's Energy and Manufacturing Jobs Act of 2011
HB200,216711,Inland Empire Perchlorate Ground Water Plume Assessment Act of 2011
HB201,216712,Removing Reward for Section 8 Fraud Act of 2011
HB202,216713,EEOICPA Ombudsman Extension and Enhancement Act of 2011
HB203,216714,To better provide for compensation for certain persons injured in the course of employment at the Santa Susana Field Laboratory in California.
HB204,216715,Congressional Pay Cut Act
HB205,216716,HEARTH Act of 2012
HB206,216717,To amend the Internal Revenue Code of 1986 to prevent pending tax increases and for other purposes.
HB207,216718,School Food Recovery Act
HB208,216719,To amend title 10 United States Code to authorize the reimbursement of mental health counselors under TRICARE and for other purposes.
HB209,216720,Reducing Information Control Designations Act
HB210,216721,Filipino Veterans Fairness Act of 2011
HB211,216722,For the relief of Roberto Luis Dunoyer Mejia Consuelo Cardona Molina Camilo Dunoyer Cardona and Pablo Dunoyer Cardona.
HB212,216723,Sanctity of Human Life Act
HB213,216724,RARE Act of 2011
HB214,216725,Congressional Office of Regulatory Analysis Creation and Sunset and Review Act of 2011
HB215,216726,To repeal the Patient Protection and Affordable Care Act and title I of the Health Care and Education Reconciliation Act of 2010 while preserving the reauthorization of the Indian Health Care Improvement Act.
HB216,216727,Border Security Search Accountability Act of 2011
HB217,216728,Title X Abortion Provider Prohibition Act
HB218,216729,People Resolved to Obtain an Understanding of Democracy Act
HB219,216730,Social Security Preservation Act of 2011
HB220,216731,Identity Theft Prevention Act of 2011
HB221,216732,Noose Hate Crime Act of 2011
HB222,216733,Infant Protection and Baby Switching Prevention Act of 2011
HB223,216734,Federal Prison Bureau Nonviolent Offender Relief Act of 2011
HB224,216735,David Ray Hate Crimes Prevention Act of 2011
HB225,216736,Chemical Facility Security Improvement Act of 2011
HB226,216737,Congressional Disclosures Protections Act of 2011
HB227,216738,Child Gun Safety and Gun Access Prevention Act of 2011
HB228,216739,Traffic Stops Along the Border Statistics Study Act of 2011
HB229,216740,Michael Jon Newkirk Transportation Safety Enhancement Act of 2011
HB230,216741,21st Century Energy Independence Act of 2011
HB231,216742,No More Tulias: Drug Law Enforcement Evidentiary Standards Improvement Act of 2011
HB232,216743,Military Success in Iraq And Diplomatic Surge for National and Political Reconciliation in Iraq Act of 2011
HB233,216744,No One Strike Eviction Act of 2011
HB234,216745,Savings for Seniors Act of 2011
HB235,216746,Cut Unsustainable and Top-Heavy Spending Act of 2011
HB236,216747,To provide that rates of pay for Members of Congress shall not be adjusted under section 601(a)(2) of the Legislative Reorganization Act of 1946 in the year following any fiscal year in which outlays of the United States exceeded receipts of the United States.
HB237,216748,To amend the Homeowners Assistance Program of the Department of Defense to give the Secretary of Defense flexibility regarding setting the commencement date for homeowner assistance for members of the Armed Forces permanently reassigned during the mortgage crisis.
HB238,216749,Military Retiree Health Care Relief Act of 2011
HB239,216750,Notch Baby Act of 2011
HB240,216751,To amend title 38 United States Code to promote jobs for veterans through the use of sole source contracts by Department of Veterans Affairs for purposes of meeting the contracting goals and preferences of the Department of Veterans Affairs for small business concerns owned and controlled by veterans.
HB241,216752,To authorize the conveyance of certain National Forest System lands in the Los Padres National Forest in California.
HB242,216753,To clarify the implementation and enforcement of Subpart B of the Travel Management Rule (36 C.F.R. 212) relating to the designation of roads trails and areas for motor vehicle use in administrative units of the National Forest System in California and for other purposes.
HB243,216754,Patent Lawsuit Reform Act of 2011
HB244,216755,Protecting Jobs in Your State Act of 2011
HB245,216756,To amend the Federal Reserve Act to remove the mandate on the Board of Governors of the Federal Reserve System and the Federal Open Market Committee to focus on maximum employment.
HB246,216757,To repeal the provision of law that provides for automatic pay adjustments for Members of Congress.
HB247,216758,To provide for the retention of the name of Mount McKinley.
HB248,216759,Depleted Uranium Screening and Testing Act
HB249,216760,To permit Members of Congress to administer the oath of allegiance to applicants for naturalization.
HB250,216761,To provide discretionary authority to an immigration judge to determine that an alien parent of a United States citizen child should not be ordered removed deported or excluded from the United States.
HB251,216762,General Slocum Memorial Study Act
HB252,216763,Territorial Funding Information Act of 2011
HB253,216764,Clean Vehicles for Cleaner Air Act of 2011
HB254,216765,Sewage Sludge in Food Production Consumer Notification Act
